word,category,video_file,cara_isyarat,illustration_file,meaning,source,related_words
Anak,sehari-hari,anak.mov,,,,,
Apa,umum,apa.mp4,,,,,
Asal,umum,asal.mov,,,,,
Ayah,sehari-hari,ayah.mp4,,,,,
Bagaimana,umum,bagaimana.mp4,,,,,
Baik,umum,baik.mp4,,,,,
Belajar,umum,belajar.mp4,,,,,
Berdiri,sehari-hari,berdiri.mp4,,,,,
Bingung,umum,bingung.mp4,,,,,
Dan,umum,dan.mov,,,,,
Dia,sehari-hari,dia.mp4,,,,,
Dimana,umum,dimana.mp4,,,,,
Duduk,sehari-hari,duduk.mp4,,,,,
Guru,umum,guru.mov,,,,,
Halo,sehari-hari,halo.mp4,,,,,
Hari ini,sehari-hari,hari_ini.mov,,,,,
Hobi,umum,hobi.mov,,,,,
Ibu,sehari-hari,ibu.mov,,,,,
Kalian,sehari-hari,kalian.mp4,,,,,
Kami,sehari-hari,kami.mp4,,,,,
Kamu,sehari-hari,kamu.mp4,,,,,
Kapan,umum,kapan.mp4,,,,,
Keluarga,sehari-hari,keluarga.mov,,,,,
Kita,sehari-hari,kita.mp4,,,,,
Lagi,umum,lagi.mov,,,,,
Makan,sehari-hari,makan.mp4,,,,,
Malam,sehari-hari,malam.mov,,,,,
Mandi,sehari-hari,mandi.mp4,,,,,
Marah,umum,marah.mp4,,,,,
Melihat,umum,melihat.mp4,,,,,
Membaca,umum,membaca.mp4,,,,,
Mengapa,umum,mengapa.mov,,,,,
Menulis,umum,menulis.mp4,,,,,
Mereka,sehari-hari,mereka.mp4,,,,,
Minum,sehari-hari,minum.mp4,,,,,
Nama,sehari-hari,nama.mov,,,,,
Olahraga,umum,olahraga.mov,,,,,
Pagi,sehari-hari,pagi.mov,,,,,
Ramah,umum,ramah.mp4,,,,,
Sabar,umum,sabar.mp4,,,,,
Saya,sehari-hari,saya.mp4,,,,,
Sedih,umum,sedih.mp4,,,,,
Sekian,sehari-hari,sekian.mov,,,,,
Selamat,sehari-hari,selamat.mov,,,,,
Senang,umum,senang.mp4,,,,,
Siang,sehari-hari,siang.mov,,,,,
Siapa,umum,siapa.mp4,,,,,
Teman,sehari-hari,teman.mov,,,,,
Terima Kasih,sehari-hari,terima_kasih.mp4,,,,,
Tidur,sehari-hari,tidur.mp4,,,,,
